tweet_id,timestamp,rating_numerator,rating_denominator,dog_name,dog_stage,jpg_url,img_num,prediction_image,prediction_confidence,prediction_breed,favorite_count,retweet_count,created_at
892420643555336193,2017-08-01 16:23:56+00:00,13,10,Phineas,,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,orange | bagel | banana,0.0970486 | 0.0858511 | 0.07611,False | False | False,39467,8853,2017-08-01 16:23:56+00:00
892177421306343426,2017-08-01 00:17:27+00:00,13,10,Tilly,,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,chihuahua | pekinese | papillon,0.323581 | 0.0906465 | 0.0689569,True | True | True,33819,6514,2017-08-01 00:17:27+00:00
891815181378084864,2017-07-31 00:18:03+00:00,12,10,Archie,,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,chihuahua | malamute | kelpie,0.716012 | 0.078253 | 0.0313789,True | True | True,25461,4328,2017-07-31 00:18:03+00:00
891689557279858688,2017-07-30 15:58:51+00:00,13,10,Darla,,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,paper_towel | labrador_retriever | spatula,0.1702779999999999 | 0.1680859999999999 | 0.0408359,False | True | False,42908,8964,2017-07-30 15:58:51+00:00
891327558926688256,2017-07-29 16:00:24+00:00,12,10,Franklin,,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset | english_springer | german_short_haired_pointer,0.555712 | 0.2257699999999999 | 0.175219,True | True | True,41048,9774,2017-07-29 16:00:24+00:00
891087950875897856,2017-07-29 00:08:17+00:00,13,10,,,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,chesapeake_bay_retriever | irish_terrier | indian_elephant,0.425595 | 0.116317 | 0.0769021999999999,True | True | False,20562,3261,2017-07-29 00:08:17+00:00
890971913173991426,2017-07-28 16:27:12+00:00,13,10,Jax,,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,appenzeller | border_collie | ice_lolly,0.341703 | 0.199287 | 0.193548,True | True | False,12041,2158,2017-07-28 16:27:12+00:00
890729181411237888,2017-07-28 00:22:40+00:00,13,10,,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,pomeranian | eskimo_dog | pembroke,0.566142 | 0.1784059999999999 | 0.0765069,True | True | True,56848,16716,2017-07-28 00:22:40+00:00
890609185150312448,2017-07-27 16:25:51+00:00,13,10,Zoey,,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,irish_terrier | irish_setter | chesapeake_bay_retriever,0.4875739999999999 | 0.193054 | 0.118184,True | True | True,28226,4429,2017-07-27 16:25:51+00:00
890240255349198849,2017-07-26 15:59:51+00:00,14,10,Cassie,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,pembroke | cardigan | chihuahua,0.511319 | 0.451038 | 0.0292482,True | True | True,32467,7711,2017-07-26 15:59:51+00:00
890006608113172480,2017-07-26 00:31:25+00:00,13,10,Koda,,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,samoyed | pomeranian | chow,0.957979 | 0.0138835 | 0.00816748,True | True | True,31166,7624,2017-07-26 00:31:25+00:00
889880896479866881,2017-07-25 16:11:53+00:00,13,10,Bruno,,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1,french_bulldog | labrador_retriever | muzzle,0.377417 | 0.151317 | 0.0829811,True | True | False,28268,5156,2017-07-25 16:11:53+00:00
889665388333682689,2017-07-25 01:55:32+00:00,13,10,,puppo,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1,pembroke | cardigan | basenji,0.966327 | 0.0273557 | 0.00463323,True | True | True,38818,8538,2017-07-25 01:55:32+00:00
889638837579907072,2017-07-25 00:10:02+00:00,12,10,Ted,,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,french_bulldog | boxer | staffordshire_bullterrier,0.99165 | 0.00212864 | 0.00149818,True | True | True,27672,4735,2017-07-25 00:10:02+00:00
889531135344209921,2017-07-24 17:02:04+00:00,13,10,Stuart,puppo,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,golden_retriever | labrador_retriever | redbone,0.953442 | 0.0138341 | 0.00795775,True | True | True,15359,2321,2017-07-24 17:02:04+00:00
889278841981685760,2017-07-24 00:19:32+00:00,13,10,Oliver,,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,whippet | borzoi | saluki,0.626152 | 0.194742 | 0.0273507,True | True | True,25652,5637,2017-07-24 00:19:32+00:00
888917238123831296,2017-07-23 00:22:39+00:00,12,10,Jim,,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1,golden_retriever | tibetan_mastiff | labrador_retriever,0.714719 | 0.1201839999999999 | 0.1055059999999999,True | True | True,29611,4709,2017-07-23 00:22:39+00:00
